id,age,gender,switch.h2w,switch.w2h,gcos.auto,gcos.cont,gcos.impe,mvs.intrinsic,mvs.integrated,mvs.identified,mvs.introjected,mvs.external,mvs.amotivation,triptype,info,familiarity,choice,time
4,52,Male,Once a week,Twice a week or more,4.92,4.83,4.25,4,3,3.75,2.75,3.75,3,H2F,C,R,1,25
4,52,Male,Once a week,Twice a week or more,4.92,4.83,4.25,4,3,3.75,2.75,3.75,3,W2H,V,R,1,29
4,52,Male,Once a week,Twice a week or more,4.92,4.83,4.25,4,3,3.75,2.75,3.75,3,H2W,B,L,1,15
4,52,Male,Once a week,Twice a week or more,4.92,4.83,4.25,4,3,3.75,2.75,3.75,3,W2F,V,P,2,26
4,52,Male,Once a week,Twice a week or more,4.92,4.83,4.25,4,3,3.75,2.75,3.75,3,H2F,F,P,1,15
4,52,Male,Once a week,Twice a week or more,4.92,4.83,4.25,4,3,3.75,2.75,3.75,3,W2H,F,P,2,15
4,52,Male,Once a week,Twice a week or more,4.92,4.83,4.25,4,3,3.75,2.75,3.75,3,H2W,V,P,1,18
4,52,Male,Once a week,Twice a week or more,4.92,4.83,4.25,4,3,3.75,2.75,3.75,3,W2F,C,P,1,14
4,52,Male,Once a week,Twice a week or more,4.92,4.83,4.25,4,3,3.75,2.75,3.75,3,H2F,V,P,1,13
4,52,Male,Once a week,Twice a week or more,4.92,4.83,4.25,4,3,3.75,2.75,3.75,3,W2H,F,R,2,25
4,52,Male,Once a week,Twice a week or more,4.92,4.83,4.25,4,3,3.75,2.75,3.75,3,H2W,F,R,1,13
4,52,Male,Once a week,Twice a week or more,4.92,4.83,4.25,4,3,3.75,2.75,3.75,3,W2F,V,R,1,30
4,52,Male,Once a week,Twice a week or more,4.92,4.83,4.25,4,3,3.75,2.75,3.75,3,H2F,V,R,1,11
4,52,Male,Once a week,Twice a week or more,4.92,4.83,4.25,4,3,3.75,2.75,3.75,3,W2H,V,P,1,27
4,52,Male,Once a week,Twice a week or more,4.92,4.83,4.25,4,3,3.75,2.75,3.75,3,H2W,F,P,1,21
4,52,Male,Once a week,Twice a week or more,4.92,4.83,4.25,4,3,3.75,2.75,3.75,3,W2F,C,R,1,17
4,52,Male,Once a week,Twice a week or more,4.92,4.83,4.25,4,3,3.75,2.75,3.75,3,H2F,F,R,1,9
4,52,Male,Once a week,Twice a week or more,4.92,4.83,4.25,4,3,3.75,2.75,3.75,3,W2H,B,L,1,13
4,52,Male,Once a week,Twice a week or more,4.92,4.83,4.25,4,3,3.75,2.75,3.75,3,H2W,V,R,1,14
4,52,Male,Once a week,Twice a week or more,4.92,4.83,4.25,4,3,3.75,2.75,3.75,3,W2F,B,L,1,7
4,52,Male,Once a week,Twice a week or more,4.92,4.83,4.25,4,3,3.75,2.75,3.75,3,H2F,C,P,1,7
4,52,Male,Once a week,Twice a week or more,4.92,4.83,4.25,4,3,3.75,2.75,3.75,3,W2H,C,P,1,12
4,52,Male,Once a week,Twice a week or more,4.92,4.83,4.25,4,3,3.75,2.75,3.75,3,H2W,C,R,1,12
4,52,Male,Once a week,Twice a week or more,4.92,4.83,4.25,4,3,3.75,2.75,3.75,3,W2F,F,R,1,11
4,52,Male,Once a week,Twice a week or more,4.92,4.83,4.25,4,3,3.75,2.75,3.75,3,H2F,B,L,1,5
5,21,Male,Twice a week or more,Twice a week or more,6.42,3.75,3.08,4.75,3.75,4.25,4,3.5,2,W2H,V,R,1,60
5,21,Male,Twice a week or more,Twice a week or more,6.42,3.75,3.08,4.75,3.75,4.25,4,3.5,2,H2W,V,P,1,15
5,21,Male,Twice a week or more,Twice a week or more,6.42,3.75,3.08,4.75,3.75,4.25,4,3.5,2,W2F,C,R,1,60
5,21,Male,Twice a week or more,Twice a week or more,6.42,3.75,3.08,4.75,3.75,4.25,4,3.5,2,H2F,F,P,1,5
5,21,Male,Twice a week or more,Twice a week or more,6.42,3.75,3.08,4.75,3.75,4.25,4,3.5,2,W2H,F,R,1,30
5,21,Male,Twice a week or more,Twice a week or more,6.42,3.75,3.08,4.75,3.75,4.25,4,3.5,2,H2W,C,P,1,10
5,21,Male,Twice a week or more,Twice a week or more,6.42,3.75,3.08,4.75,3.75,4.25,4,3.5,2,W2F,V,R,2,20
5,21,Male,Twice a week or more,Twice a week or more,6.42,3.75,3.08,4.75,3.75,4.25,4,3.5,2,H2F,V,P,1,30
5,21,Male,Twice a week or more,Twice a week or more,6.42,3.75,3.08,4.75,3.75,4.25,4,3.5,2,W2H,C,R,1,7
5,21,Male,Twice a week or more,Twice a week or more,6.42,3.75,3.08,4.75,3.75,4.25,4,3.5,2,H2W,F,P,1,2
5,21,Male,Twice a week or more,Twice a week or more,6.42,3.75,3.08,4.75,3.75,4.25,4,3.5,2,W2F,B,L,1,2
5,21,Male,Twice a week or more,Twice a week or more,6.42,3.75,3.08,4.75,3.75,4.25,4,3.5,2,H2F,V,R,2,14
5,21,Male,Twice a week or more,Twice a week or more,6.42,3.75,3.08,4.75,3.75,4.25,4,3.5,2,W2H,B,L,1,6
5,21,Male,Twice a week or more,Twice a week or more,6.42,3.75,3.08,4.75,3.75,4.25,4,3.5,2,H2W,B,L,1,4
5,21,Male,Twice a week or more,Twice a week or more,6.42,3.75,3.08,4.75,3.75,4.25,4,3.5,2,W2F,F,P,2,7
